2026-05-15 12:16:18 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 12:16:21 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 12:16:26 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 12:16:35 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 12:16:35 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: binance
2026-05-15 12:16:35 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 12:16:38 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 12:16:40 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 12:16:44 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 12:16:52 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 12:16:52 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: okx
2026-05-15 12:16:53 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=option&baseCoin=BTC
2026-05-15 12:16:55 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 12:16:57 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 12:17:01 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 12:17:09 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 12:17:09 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: bybit
